Roughness,id,Initial_State
0,Random Noise,Random
0.090909091,Random Noise,Random
0,Random Noise,Random
0,Random Noise,Random
0.2,Random Noise,Random
0,Random Noise,Random
0.2,Random Noise,Random
0.272727273,Random Noise,Random
0,Random Noise,Random
0.222222222,Random Noise,Random
0,Random Noise,Random
0.111111111,Random Noise,Random
0,Random Noise,Random
0.076923077,Random Noise,Random
0,Random Noise,Random
0.090909091,Random Noise,Random
0.222222222,Random Noise,Random
0.333333333,Random Noise,Random
0.25,Random Noise,Random
0.153846154,Random Noise,Random
0,Random Noise,Random
0.285714286,Random Noise,Random
0,Random Noise,Random
0.111111111,Random Noise,Random
0,Random Noise,Random
0.222222222,Random Noise,Random
0.428571429,Random Noise,Random
0.416666667,Random Noise,Random
0.222222222,Random Noise,Random
0,Random Noise,Random
0.25,Random Noise,Random
0.333333333,Random Noise,Random
0.111111111,Random Noise,Random
0.181818182,Random Noise,Random
0.5,Random Noise,Random
0,Random Noise,Random
0.181818182,Random Noise,Random
0.333333333,Random Noise,Random
0.083333333,Random Noise,Random
0.1,Random Noise,Random
0.222222222,Random Noise,Random
0.181818182,Random Noise,Random
0.0625,Random Noise,Random
0.666666667,Random Noise,Random
0.1,Random Noise,Random
0.1,Random Noise,Random
0.428571429,Random Noise,Random
0.230769231,Random Noise,Random
0.25,Random Noise,Random
0.181818182,Random Noise,Random
0.1,Random Noise,Random
0,Random Noise,Random
0.214285714,Random Noise,Random
0.166666667,Random Noise,Random
0.272727273,Random Noise,Random
0.111111111,Random Noise,Random
0.25,Random Noise,Random
0.1,Random Noise,Random
0.625,Random Noise,Random
0.3,Random Noise,Random
0.2,Random Noise,Random
0.111111111,Random Noise,Random
0,Random Noise,Random
0.25,Random Noise,Random
0,Random Noise,Random
0.538461538,Random Noise,Random
0.2,Random Noise,Random
0.263157895,Random Noise,Random
0.125,Random Noise,Random
0,Random Noise,Random
0.222222222,Random Noise,Constant
0.2,Random Noise,Constant
0.666666667,Random Noise,Constant
1.071428571,Random Noise,Constant
0.2,Random Noise,Constant
0.692307692,Random Noise,Constant
0.181818182,Random Noise,Constant
0.272727273,Random Noise,Constant
0.363636364,Random Noise,Constant
0.285714286,Random Noise,Constant
0.363636364,Random Noise,Constant
0.25,Random Noise,Constant
0.416666667,Random Noise,Constant
0.555555556,Random Noise,Constant
0.933333333,Random Noise,Constant
0.285714286,Random Noise,Constant
0.625,Random Noise,Constant
0.8,Random Noise,Constant
0.444444444,Random Noise,Constant
0.444444444,Random Noise,Constant
0.5,Random Noise,Constant
0.461538462,Random Noise,Constant
0.416666667,Random Noise,Constant
0.333333333,Random Noise,Constant
0.230769231,Random Noise,Constant
0.357142857,Random Noise,Constant
0.454545455,Random Noise,Constant
0.285714286,Random Noise,Constant
0.444444444,Random Noise,Constant
0.25,Random Noise,Constant
0.4,Random Noise,Constant
0.5,Random Noise,Constant
0.4,Random Noise,Constant
0.357142857,Random Noise,Constant
0.4,Random Noise,Constant
0.4,Random Noise,Constant
0.25,Random Noise,Constant
0.692307692,Random Noise,Constant
0.444444444,Random Noise,Constant
0.333333333,Random Noise,Constant
0.25,Random Noise,Constant
0.166666667,Random Noise,Constant
0.666666667,Random Noise,Constant
0.230769231,Random Noise,Constant
0.25,Random Noise,Constant
0.375,Random Noise,Constant
0.2,Random Noise,Constant
0.333333333,Random Noise,Constant
0.333333333,Random Noise,Constant
0.454545455,Random Noise,Constant
0.25,Random Noise,Constant
0.727272727,Random Noise,Constant
0.363636364,Random Noise,Constant
0.727272727,Random Noise,Constant
0.272727273,Random Noise,Constant
0.3,Random Noise,Constant
0.375,Random Noise,Constant
0.5,Random Noise,Constant
0.461538462,Random Noise,Constant
0.8,Random Noise,Constant
0.625,Random Noise,Constant
0.333333333,Random Noise,Constant
0.181818182,Random Noise,Constant
0.769230769,Random Noise,Constant
0.666666667,Random Noise,Constant
0.666666667,Random Noise,Constant
0.307692308,Random Noise,Constant
0.3,Random Noise,Constant
0.3,Random Noise,Constant
0.4,Random Noise,Constant
0.363636364,Random Noise,Constant
0.333333333,Random Noise,Constant
0.4,Random Noise,Constant
0.153846154,Random Noise,Constant
0.285714286,Random Noise,Constant
0.416666667,Random Noise,Constant
0.666666667,Random Noise,Constant
0.8,Random Noise,Constant
0.333333333,Random Noise,Constant
0.909090909,Random Noise,Constant
1.333333333,Random Noise,Constant
0.333333333,Random Noise,Constant
0.466666667,Random Noise,Constant
0.416666667,Random Noise,Constant
0.571428571,Random Noise,Constant
0.333333333,Random Noise,Constant
0.25,Random Noise,Constant
0.4,Random Noise,Constant
1.133333333,Random Noise,Constant
0.8,Random Noise,Constant
0.333333333,Random Noise,Constant
0.25,Random Noise,Constant
0.666666667,Random Noise,Constant
0.222222222,Random Noise,Constant
0.3,Random Noise,Constant
0.363636364,Random Noise,Constant
0.181818182,Random Noise,Constant
0.5,Random Noise,Constant
0.5,Random Noise,Constant
0.9,Random Noise,Constant
0.333333333,No Extinction,Constant
0.333333333,No Extinction,Constant
