Sample_Roughness	Pos_Roughness	Neg_Roughness
0.410185626207298	0.27871848739495797	0.4156521256521256
0.3178939430023021	0.28381148950808394	0.5118795093795094
0.5377122387416505	0.3737431359490183	0.37341547341547343
0.31618367184930657	0.2711016511867905	0.41772283272283267
0.2827491522924959	0.2944183579864694	0.3260314685314685
0.2981882737145895	0.253078775369797	0.4777447552447553
0.3846732545919852	0.3509346896653398	0.45504079254079255
0.39148649810801517	0.3399985257260799	0.46622877122877127
0.30547619047619046	0.3413528138528138	0.6038095238095237
0.3574358076563959	0.28679441473559114	0.42176767676767674
