Sample_Roughness,Pos_Roughness,Neg_Roughness
0.410185626,0.278718487,0.415652126
0.317893943,0.28381149,0.511879509
0.537712239,0.373743136,0.373415473
0.316183672,0.271101651,0.417722833
0.282749152,0.294418358,0.326031469
0.298188274,0.253078775,0.477744755
0.384673255,0.35093469,0.455040793
0.391486498,0.339998526,0.466228771
0.30547619,0.341352814,0.603809524
0.357435808,0.286794415,0.421767677
