,Roughness,id
0,1.1183076391870108,Sample
1,1.421806615286184,Sample
2,1.150307396705479,Sample
3,1.1261948151328116,Sample
4,1.1261948151328116,Sample
5,1.2950604619182255,Sample
6,1.242503232332875,Sample
7,1.1533708719830513,Sample
8,1.135208730499441,Sample
9,1.1738327891384424,Sample
10,1.2778691945357743,Positive Control
11,1.053224755112299,Positive Control
12,1.2610887137866187,Positive Control
13,1.1903454876301656,Positive Control
14,0.9899074779262466,Positive Control
15,1.2764468734211256,Positive Control
16,1.2463294545802144,Positive Control
17,1.2610887137866187,Positive Control
18,1.0591386167914434,Positive Control
19,1.062617358955646,Positive Control
20,1.0729838054991534,Negative Control
21,1.0887079251871652,Negative Control
22,1.2694454560028212,Negative Control
23,0.9809363471940211,Negative Control
24,1.106449510224598,Negative Control
25,1.2556872000037513,Negative Control
26,0.9844024658860174,Negative Control
27,1.351569900005158,Negative Control
28,1.351569900005158,Negative Control
29,1.7325792276007141,Negative Control
