,Roughness,id,Links
372,0.588235294,acyclic (L=5),5
373,0.45,acyclic (L=5),5
374,0.375,acyclic (L=5),5
375,0.266666667,acyclic (L=5),5
376,0.263157895,acyclic (L=5),5
377,0.357142857,acyclic (L=5),5
378,0.315789474,acyclic (L=5),5
379,0.2,acyclic (L=5),5
380,0.266666667,acyclic (L=5),5
381,0.166666667,acyclic (L=5),5
382,0.352941176,acyclic (L=5),5
383,0.294117647,acyclic (L=5),5
384,0.666666667,acyclic (L=5),5
385,0.428571429,acyclic (L=5),5
386,0.736842105,acyclic (L=5),5
387,0.75,acyclic (L=5),5
388,0.526315789,acyclic (L=5),5
389,0.666666667,acyclic (L=5),5
390,0.25,acyclic (L=5),5
391,0.238095238,acyclic (L=5),5
392,0.45,acyclic (L=5),5
393,0.266666667,acyclic (L=5),5
394,0.428571429,acyclic (L=5),5
395,0.2,acyclic (L=5),5
396,0.3125,acyclic (L=5),5
397,0.294117647,acyclic (L=5),5
398,0.1875,acyclic (L=5),5
399,0.555555556,acyclic (L=5),5
0,0.294117647,cyclic (L=15),15
1,0.25,cyclic (L=15),15
2,0.35,cyclic (L=15),15
3,0.4,cyclic (L=15),15
4,0.315789474,cyclic (L=15),15
5,0.25,cyclic (L=15),15
6,0.636363636,cyclic (L=15),15
7,0.176470588,cyclic (L=15),15
8,0.409090909,cyclic (L=15),15
9,0.315789474,cyclic (L=15),15
20,0.315789474,cyclic (L=15),15
21,0.277777778,cyclic (L=15),15
22,0.210526316,cyclic (L=15),15
23,0.25,cyclic (L=15),15
24,0.117647059,cyclic (L=15),15
25,0.235294118,cyclic (L=15),15
26,0.235294118,cyclic (L=15),15
27,0.35,cyclic (L=15),15
28,0.380952381,cyclic (L=15),15
29,0.235294118,cyclic (L=15),15
40,0.222222222,cyclic (L=15),15
41,0.368421053,cyclic (L=15),15
42,1.153846154,cyclic (L=15),15
43,0.125,cyclic (L=15),15
44,0.352941176,cyclic (L=15),15
45,0.45,cyclic (L=15),15
46,0.5,cyclic (L=15),15
47,0.1875,cyclic (L=15),15
48,0.166666667,cyclic (L=15),15
49,0.142857143,cyclic (L=15),15
60,0.315789474,cyclic (L=15),15
61,0.608695652,cyclic (L=15),15
62,0.315789474,cyclic (L=15),15
63,0.476190476,cyclic (L=15),15
64,0.210526316,cyclic (L=15),15
65,0.210526316,cyclic (L=15),15
66,0.318181818,cyclic (L=15),15
67,0.277777778,cyclic (L=15),15
68,0.35,cyclic (L=15),15
69,0.210526316,cyclic (L=15),15
80,0.210526316,cyclic (L=15),15
81,0.318181818,cyclic (L=15),15
82,0.210526316,cyclic (L=15),15
83,0.117647059,cyclic (L=15),15
84,0.526315789,cyclic (L=15),15
85,0.277777778,cyclic (L=15),15
86,0.315789474,cyclic (L=15),15
87,0.476190476,cyclic (L=15),15
88,0.526315789,cyclic (L=15),15
89,0.315789474,cyclic (L=15),15
100,0.25,cyclic (L=15),15
101,0.277777778,cyclic (L=15),15
102,0.380952381,cyclic (L=15),15
103,0.166666667,cyclic (L=15),15
104,0.35,cyclic (L=15),15
105,0.6,cyclic (L=15),15
106,0.25,cyclic (L=15),15
107,0.2,cyclic (L=15),15
108,0.25,cyclic (L=15),15
109,0.117647059,cyclic (L=15),15
120,0.2,cyclic (L=15),15
121,0.6,cyclic (L=15),15
122,0.454545455,cyclic (L=15),15
123,0.294117647,cyclic (L=15),15
124,0.285714286,cyclic (L=15),15
125,0.428571429,cyclic (L=15),15
126,0.2,cyclic (L=15),15
127,0.5625,cyclic (L=15),15
128,0.2,cyclic (L=15),15
129,0.529411765,cyclic (L=15),15
140,0.25,cyclic (L=15),15
141,0.315789474,cyclic (L=15),15
142,0.117647059,cyclic (L=15),15
143,0.277777778,cyclic (L=15),15
144,0.166666667,cyclic (L=15),15
145,0.380952381,cyclic (L=15),15
146,0.277777778,cyclic (L=15),15
147,0.117647059,cyclic (L=15),15
148,0.526315789,cyclic (L=15),15
149,0.166666667,cyclic (L=15),15
160,0.210526316,cyclic (L=15),15
161,0.590909091,cyclic (L=15),15
162,0.285714286,cyclic (L=15),15
163,0.35,cyclic (L=15),15
164,0.52173913,cyclic (L=15),15
165,0.117647059,cyclic (L=15),15
166,0.25,cyclic (L=15),15
167,0.277777778,cyclic (L=15),15
168,0.368421053,cyclic (L=15),15
169,0.45,cyclic (L=15),15
180,0.3125,cyclic (L=15),15
181,0.375,cyclic (L=15),15
182,0.4375,cyclic (L=15),15
183,0.4,cyclic (L=15),15
184,0.352941176,cyclic (L=15),15
185,0.411764706,cyclic (L=15),15
186,0.523809524,cyclic (L=15),15
187,0.214285714,cyclic (L=15),15
188,0.266666667,cyclic (L=15),15
189,0.421052632,cyclic (L=15),15
200,0.230769231,cyclic (L=5),5
201,0.142857143,cyclic (L=5),5
202,0.333333333,cyclic (L=5),5
203,0.181818182,cyclic (L=5),5
204,0.333333333,cyclic (L=5),5
205,0.1875,cyclic (L=5),5
206,0.333333333,cyclic (L=5),5
207,0.3125,cyclic (L=5),5
208,0.428571429,cyclic (L=5),5
209,0.2,cyclic (L=5),5
210,0.411764706,cyclic (L=5),5
211,0.307692308,cyclic (L=5),5
212,0.142857143,cyclic (L=5),5
213,0.181818182,cyclic (L=5),5
214,0.5625,cyclic (L=5),5
215,0.235294118,cyclic (L=5),5
216,0.210526316,cyclic (L=5),5
217,0.3125,cyclic (L=5),5
218,0.307692308,cyclic (L=5),5
219,0.333333333,cyclic (L=5),5
220,0.736842105,cyclic (L=5),5
221,0.214285714,cyclic (L=5),5
222,0.277777778,cyclic (L=5),5
223,0.588235294,cyclic (L=5),5
224,0.285714286,cyclic (L=5),5
225,0.25,cyclic (L=5),5
226,0.416666667,cyclic (L=5),5
227,0.214285714,cyclic (L=5),5
228,0.764705882,cyclic (L=5),5
229,0.3125,cyclic (L=5),5
230,0.2,cyclic (L=5),5
231,0.294117647,cyclic (L=5),5
232,0.368421053,cyclic (L=5),5
233,0.333333333,cyclic (L=5),5
234,0.4,cyclic (L=5),5
235,0.2,cyclic (L=5),5
236,0.294117647,cyclic (L=5),5
237,0.666666667,cyclic (L=5),5
238,0.214285714,cyclic (L=5),5
239,0.266666667,cyclic (L=5),5
240,0.2,cyclic (L=5),5
241,0.181818182,cyclic (L=5),5
242,0.142857143,cyclic (L=5),5
243,0.266666667,cyclic (L=5),5
244,0.375,cyclic (L=5),5
245,0.65,cyclic (L=5),5
246,0.25,cyclic (L=5),5
247,0.142857143,cyclic (L=5),5
248,0.416666667,cyclic (L=5),5
249,0.235294118,cyclic (L=5),5
250,0.352941176,cyclic (L=5),5
251,0.181818182,cyclic (L=5),5
252,0.333333333,cyclic (L=5),5
253,0.307692308,cyclic (L=5),5
254,0.666666667,cyclic (L=5),5
255,0.142857143,cyclic (L=5),5
256,0.590909091,cyclic (L=5),5
257,0.375,cyclic (L=5),5
258,0.153846154,cyclic (L=5),5
259,0.166666667,cyclic (L=5),5
260,0.368421053,cyclic (L=5),5
261,0.153846154,cyclic (L=5),5
262,0.222222222,cyclic (L=5),5
263,0.230769231,cyclic (L=5),5
264,0.315789474,cyclic (L=5),5
265,0.625,cyclic (L=5),5
266,0.473684211,cyclic (L=5),5
267,0.333333333,cyclic (L=5),5
268,0.363636364,cyclic (L=5),5
269,0.272727273,cyclic (L=5),5
270,0.294117647,cyclic (L=5),5
271,0.3125,cyclic (L=5),5
272,0.230769231,cyclic (L=5),5
273,0.166666667,cyclic (L=5),5
274,0.25,cyclic (L=5),5
275,0.266666667,cyclic (L=5),5
276,0.619047619,cyclic (L=5),5
277,0.3125,cyclic (L=5),5
278,0.3125,cyclic (L=5),5
279,0.25,cyclic (L=5),5
280,0.55,cyclic (L=5),5
281,0.357142857,cyclic (L=5),5
282,0.3125,cyclic (L=5),5
283,0.307692308,cyclic (L=5),5
284,0.2,cyclic (L=5),5
285,0.357142857,cyclic (L=5),5
286,0.176470588,cyclic (L=5),5
287,0.357142857,cyclic (L=5),5
288,0.230769231,cyclic (L=5),5
289,0.230769231,cyclic (L=5),5
290,0.705882353,cyclic (L=5),5
291,0.571428571,cyclic (L=5),5
292,0.25,cyclic (L=5),5
293,0.1875,cyclic (L=5),5
294,0.266666667,cyclic (L=5),5
295,0.5625,cyclic (L=5),5
296,0.25,cyclic (L=5),5
297,0.214285714,cyclic (L=5),5
298,0.142857143,cyclic (L=5),5
299,0.363636364,cyclic (L=5),5
