,Sample in0,Positive Control in0,Negative Control in0
0,0.375,0.3333333333333333,0.2222222222222222
1,0.5263157894736842,0.3333333333333333,0.2
2,0.5294117647058824,0.125,0.6666666666666666
3,0.35294117647058826,0.5,1.0714285714285714
4,0.3888888888888889,0.3333333333333333,0.2
5,0.23529411764705882,0.2,0.6923076923076923
6,0.5,0.25,0.18181818181818182
7,0.5882352941176471,0.17647058823529413,0.2727272727272727
8,0.23076923076923078,0.2857142857142857,0.36363636363636365
9,0.375,0.25,0.2857142857142857
