,Roughness,id
0,0.3157894736842105,cyclic
1,0.2777777777777778,cyclic
2,0.21052631578947367,cyclic
3,0.25,cyclic
4,0.11764705882352941,cyclic
5,0.23529411764705882,cyclic
6,0.23529411764705882,cyclic
7,0.35,cyclic
8,0.38095238095238093,cyclic
9,0.23529411764705882,cyclic
10,0.21052631578947367,acyclic
11,0.8695652173913043,acyclic
12,0.16666666666666666,acyclic
13,0.2777777777777778,acyclic
14,0.2777777777777778,acyclic
15,0.55,acyclic
16,0.23529411764705882,acyclic
17,0.375,acyclic
18,0.16666666666666666,acyclic
19,0.3157894736842105,acyclic
