,Roughness,id
219,0.466666667,Sample
220,0.294117647,Positive Control
221,0.526315789,Positive Control
222,0.2,Positive Control
223,0.428571429,Positive Control
224,0.333333333,Positive Control
225,0.294117647,Positive Control
226,0.470588235,Positive Control
227,0.3125,Positive Control
228,0.1875,Positive Control
229,0.352941176,Positive Control
230,0.363636364,Negative Control
231,0.333333333,Negative Control
232,0.4,Negative Control
233,0.153846154,Negative Control
234,0.285714286,Negative Control
235,0.416666667,Negative Control
236,0.666666667,Negative Control
237,0.8,Negative Control
238,0.333333333,Negative Control
239,0.909090909,Negative Control
240,0.363636364,Sample
241,0.166666667,Sample
242,0.333333333,Sample
243,0.2,Sample
244,0.25,Sample
245,0.333333333,Sample
246,0.363636364,Sample
247,0.2,Sample
248,0.272727273,Sample
249,0.571428571,Sample
250,0.666666667,Positive Control
251,0.375,Positive Control
252,0.2,Positive Control
253,0.2,Positive Control
254,0.181818182,Positive Control
255,0.181818182,Positive Control
256,0.363636364,Positive Control
257,0.714285714,Positive Control
258,0.363636364,Positive Control
259,0.166666667,Positive Control
260,1.333333333,Negative Control
261,0.333333333,Negative Control
262,0.466666667,Negative Control
263,0.416666667,Negative Control
264,0.571428571,Negative Control
265,0.333333333,Negative Control
266,0.25,Negative Control
267,0.4,Negative Control
268,1.133333333,Negative Control
269,0.8,Negative Control
270,0.25,Sample
271,0.555555556,Sample
272,0.3125,Sample
273,0.266666667,Sample
274,0.333333333,Sample
275,0.470588235,Sample
276,0.388888889,Sample
277,0.266666667,Sample
278,0.285714286,Sample
279,0.444444444,Sample
280,0.545454545,Positive Control
281,0.25,Positive Control
282,0.277777778,Positive Control
283,0.409090909,Positive Control
284,0.117647059,Positive Control
285,0.294117647,Positive Control
286,0.352941176,Positive Control
287,0.277777778,Positive Control
288,0.166666667,Positive Control
289,0.176470588,Positive Control
290,0.333333333,Negative Control
291,0.25,Negative Control
292,0.666666667,Negative Control
293,0.222222222,Negative Control
294,0.3,Negative Control
295,0.363636364,Negative Control
296,0.181818182,Negative Control
297,0.5,Negative Control
298,0.5,Negative Control
299,0.9,Negative Control
