,Roughness,id
0,0.2777777777777778,Sample
1,0.38095238095238093,Sample
2,0.5,Sample
3,0.21052631578947367,Sample
4,0.35,Sample
5,0.16666666666666666,Sample
6,0.25,Sample
7,0.3181818181818182,Sample
8,0.2777777777777778,Sample
9,0.25,Sample
10,0.2777777777777778,Positive Control
11,0.2777777777777778,Positive Control
12,0.2777777777777778,Positive Control
13,0.2777777777777778,Positive Control
14,0.2777777777777778,Positive Control
15,0.23529411764705882,Positive Control
16,0.23529411764705882,Positive Control
17,0.16666666666666666,Positive Control
18,0.21052631578947367,Positive Control
19,0.29411764705882354,Positive Control
20,0.25,Negative Control
21,0.7272727272727273,Negative Control
22,0.36363636363636365,Negative Control
23,0.7272727272727273,Negative Control
24,0.2727272727272727,Negative Control
25,0.3,Negative Control
26,0.375,Negative Control
27,0.5,Negative Control
28,0.46153846153846156,Negative Control
29,0.8,Negative Control
