,Autumnal Moth,Autumnal Rustic,Black Rustic,Broom Moth,Common Marbled Carpet,Dark Brocade,Dark Marbled Carpet,Dotted Border,Emperor Moth,Glaucous Shears,Golden-rod Brindle,Grey Mountain Carpet,Heath Rustic,Ingrailed Clay,July Highflyer,Light Knot Grass,Mottled Beauty,Pale Eggar,Purple Clay,Red Sword-grass,Satyr Pug,Scarce Silver Y,Small Square-spot,True Lover's Knot,Twin-spot Carpet,Winter Moth,Yellow-line Quaker
1999,6.0,0.0,0.0,0.0,2.0,1.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,20.0,0.0,4.0,2.0
2000,0.0,0.0,0.0,9.0,7.0,1.0,94.0,0.0,0.0,0.0,0.0,2.0,0.0,53.0,9.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,17.0,6.0,1.0,6.0
2001,29.0,0.0,0.0,2.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,31.0,0.0,3.0,0.0,57.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,11.0
2002,23.0,0.0,1.0,5.0,2.0,1.0,221.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,21.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,3.0,10.0,2.0,7.0,15.0
2003,11.0,0.0,0.0,7.0,5.0,5.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,39.0,0.0,6.0,0.0,28.0,0.0,0.0,0.0,0.0,13.0,16.0,6.0,29.0
2004,4.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,15.0,3.0,0.0,33.0
2005,5.0,1.0,0.0,2.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,17.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,5.0,1.0,11.0
2006,7.0,0.0,0.0,1.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,9.0,2.0,8.0,20.0
2007,7.0,1.0,0.0,8.0,4.0,6.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,47.0
2008,0.0,0.0,0.0,5.0,6.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,0.0,9.0
