RIS-TrapCode,CalDate,Black Rustic,Cloaked Minor,Coast Dart,Common Wainscot,Dark Arches,Dusky Brocade,Dusky Sallow,Flounced Rustic,Gatekeeper,Large Nutmeg,Marbled Minor,Meadow Brown,Middle-barred Minor,Ringlet,Rosy Minor,Rustic Shoulder-knot,Shoulder-striped Wainscot,Slender Brindle,Small Dotted Buff,Smoky Wainscot,Speckled Wood,Straw Dot,Tawny Marbled Minor,Wall
1,1981,0.0,748.0,0.0,1904.0,340.0,0.0,102.0,544.0,0.0,68.0,68.0,0.0,272.0,0.0,0.0,170.0,204.0,0.0,0.0,3196.0,0.0,0.0,34.0,0.0
1,1982,0.0,306.0,0.0,2448.0,510.0,0.0,0.0,408.0,0.0,0.0,34.0,0.0,34.0,0.0,0.0,646.0,170.0,0.0,34.0,3842.0,0.0,0.0,272.0,0.0
1,1983,0.0,918.0,0.0,170.0,782.0,0.0,68.0,714.0,0.0,34.0,0.0,0.0,102.0,0.0,0.0,170.0,34.0,0.0,0.0,2686.0,0.0,0.0,476.0,0.0
1,1984,0.0,1632.0,0.0,1292.0,816.0,0.0,68.0,1938.0,0.0,136.0,0.0,0.0,136.0,0.0,0.0,136.0,204.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0
1,1985,0.0,1224.0,0.0,374.0,476.0,0.0,0.0,408.0,0.0,102.0,34.0,0.0,136.0,0.0,0.0,68.0,68.0,0.0,0.0,1496.0,0.0,0.0,374.0,0.0
1,1986,0.0,2040.0,0.0,374.0,306.0,34.0,0.0,340.0,0.0,34.0,34.0,0.0,374.0,0.0,0.0,238.0,442.0,0.0,0.0,1496.0,0.0,34.0,272.0,0.0
1,1987,0.0,2822.0,0.0,1768.0,1224.0,0.0,0.0,136.0,0.0,442.0,0.0,0.0,476.0,0.0,0.0,306.0,340.0,0.0,68.0,2142.0,0.0,34.0,680.0,0.0
1,1988,0.0,1666.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,136.0,34.0,0.0,238.0,0.0,0.0,136.0,170.0,0.0,0.0,1020.0,0.0,34.0,1088.0,0.0
1,1989,0.0,10710.0,0.0,16116.0,136.0,0.0,0.0,68.0,0.0,238.0,68.0,0.0,408.0,0.0,0.0,204.0,544.0,0.0,34.0,2040.0,0.0,68.0,238.0,0.0
1,1990,0.0,9010.0,0.0,8296.0,816.0,0.0,0.0,442.0,0.0,34.0,34.0,0.0,34.0,0.0,0.0,102.0,2244.0,0.0,34.0,3128.0,0.0,0.0,238.0,0.0
1,1991,0.0,7344.0,0.0,1088.0,2176.0,0.0,0.0,646.0,0.0,34.0,34.0,0.0,340.0,0.0,0.0,136.0,272.0,0.0,68.0,1462.0,0.0,0.0,476.0,0.0
1,1992,0.0,2992.0,0.0,306.0,884.0,68.0,0.0,306.0,0.0,0.0,136.0,0.0,272.0,0.0,0.0,170.0,204.0,0.0,34.0,986.0,0.0,34.0,510.0,0.0
1,1993,0.0,612.0,0.0,2040.0,68.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,102.0,68.0,0.0,0.0,850.0,0.0,204.0,476.0,0.0
1,1994,0.0,1190.0,0.0,11662.0,544.0,0.0,0.0,204.0,0.0,68.0,0.0,0.0,136.0,0.0,0.0,136.0,170.0,0.0,0.0,2414.0,0.0,238.0,340.0,0.0
1,1995,0.0,1156.0,0.0,14314.0,510.0,0.0,0.0,204.0,0.0,34.0,34.0,0.0,136.0,0.0,0.0,0.0,442.0,0.0,0.0,2210.0,0.0,0.0,340.0,0.0
1,1996,34.0,612.0,0.0,10098.0,986.0,0.0,0.0,238.0,0.0,68.0,170.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,68.0,1462.0,0.0,0.0,238.0,0.0
1,1997,0.0,1054.0,0.0,6732.0,476.0,0.0,0.0,510.0,0.0,0.0,442.0,0.0,340.0,0.0,0.0,34.0,34.0,0.0,0.0,816.0,0.0,68.0,204.0,0.0
1,1998,34.0,170.0,0.0,340.0,578.0,0.0,0.0,544.0,0.0,34.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,68.0,136.0,0.0
1,1999,0.0,1122.0,0.0,4488.0,340.0,0.0,0.0,306.0,0.0,34.0,68.0,0.0,136.0,0.0,0.0,34.0,0.0,0.0,34.0,408.0,0.0,0.0,204.0,0.0
1,2000,0.0,1938.0,0.0,952.0,646.0,0.0,0.0,748.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,68.0,408.0,0.0
1,2001,34.0,1462.0,0.0,2448.0,476.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,204.0,0.0,68.0,0.0,0.0,0.0,0.0,884.0,0.0,544.0,170.0,0.0
1,2002,0.0,612.0,0.0,2652.0,340.0,0.0,0.0,748.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,2414.0,0.0,3570.0,272.0,0.0
1,2003,0.0,544.0,0.0,9690.0,238.0,0.0,34.0,612.0,0.0,0.0,34.0,0.0,306.0,0.0,0.0,136.0,34.0,0.0,0.0,2992.0,0.0,3842.0,374.0,0.0
1,2004,34.0,1292.0,0.0,2176.0,714.0,0.0,0.0,1054.0,0.0,34.0,0.0,0.0,782.0,0.0,0.0,34.0,68.0,0.0,0.0,2312.0,0.0,952.0,408.0,0.0
1,2005,0.0,884.0,0.0,986.0,306.0,0.0,0.0,1190.0,0.0,0.0,34.0,0.0,272.0,0.0,0.0,68.0,136.0,0.0,0.0,2924.0,0.0,1836.0,578.0,0.0
1,2006,0.0,3366.0,0.0,4080.0,1020.0,0.0,68.0,1190.0,0.0,0.0,34.0,0.0,680.0,0.0,0.0,34.0,0.0,0.0,34.0,1802.0,0.0,2482.0,68.0,0.0
