192	84	0	24	0	708	156	960	0	0	12	0	0	0	0	0	0	36	0	0	888	12	0	0	12	0	0	0	396	0	0	0	24	0	228	36	144	0
420	312	0	0	0	780	132	1692	0	0	0	0	0	0	0	0	0	12	0	0	1524	36	0	0	0	0	0	0	624	0	0	0	24	0	108	24	360	0
180	432	0	168	0	684	288	2400	0	0	0	0	0	0	12	0	0	672	0	0	2136	24	0	0	0	0	0	0	888	0	0	0	0	0	216	36	420	0
708	180	0	240	0	204	204	5148	0	0	0	0	0	0	0	0	0	96	0	0	2976	180	0	0	24	0	0	0	1608	0	0	0	48	0	432	60	180	48
216	84	0	144	0	168	72	1488	0	0	0	0	0	0	0	0	0	48	0	0	1296	72	0	0	12	0	0	0	756	0	0	0	48	0	168	0	252	0
684	120	0	12	0	120	36	1284	0	0	0	0	0	0	0	0	0	0	0	0	1452	24	0	0	12	0	0	0	552	0	0	0	0	0	96	252	24	36
240	264	0	60	0	300	60	1272	0	0	0	0	0	0	0	0	0	0	0	48	2028	12	0	0	24	0	0	0	900	0	0	0	24	0	36	72	12	0
648	96	0	84	0	1392	72	960	0	12	0	0	0	0	0	0	0	0	0	0	3288	0	12	0	24	0	0	0	120	0	0	0	84	0	120	144	84	0
60	12	0	72	0	132	120	1428	0	0	0	0	0	0	0	0	0	36	0	12	3828	132	0	0	72	0	0	0	696	0	0	12	144	0	180	156	108	0
732	48	0	0	0	156	12	1236	0	12	0	0	0	0	0	0	0	300	0	0	3288	636	0	0	72	0	0	0	360	0	0	0	0	0	12	132	720	0
3444	180	0	84	0	480	396	2532	0	0	0	0	0	0	12	24	0	120	0	12	4980	612	0	0	300	0	0	0	948	0	0	0	12	0	24	2736	252	24
168	24	0	12	0	72	156	660	0	12	0	0	0	0	24	0	0	0	0	0	1128	24	0	0	84	0	0	0	336	0	0	24	0	0	0	24	36	0
132	12	0	12	0	12	60	636	0	0	0	0	0	0	0	0	0	0	0	0	936	12	0	0	96	0	0	0	276	0	0	0	36	0	0	60	0	36
0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	48	36	636	0	0	0	0	0	0	0	0	0	24	0	0	816	492	0	0	144	0	0	0	432	0	0	0	0	0	168	24	60	108
0	24	0	96	0	876	60	600	0	12	0	0	0	0	0	0	0	12	0	0	720	408	0	0	336	0	0	0	444	0	0	0	0	0	252	48	36	408
252	0	0	132	0	96	12	168	0	12	0	0	0	0	0	0	0	0	0	0	228	108	0	0	252	0	0	0	192	0	0	0	0	0	24	0	108	120
72	0	0	144	0	0	120	120	0	0	0	0	0	0	0	0	0	24	0	0	456	84	0	0	12	0	0	0	168	0	0	0	0	0	156	12	372	144
192	0	0	24	0	60	84	300	0	0	0	0	0	0	0	0	0	108	0	0	984	240	0	0	72	0	0	0	516	0	0	0	0	0	108	24	1428	48
264	24	0	72	0	720	156	240	0	0	12	0	0	0	0	0	0	12	0	0	960	780	0	0	48	0	0	0	276	0	0	0	0	0	768	84	996	204
84	0	0	72	0	192	120	1200	0	0	0	0	0	0	0	0	0	168	0	0	1656	1368	0	0	300	0	0	0	732	24	0	0	24	0	516	48	288	840
